EID,ArticleType,Abstract,College,Department,Year
2-s2.0-70350618071,Article,"The definition of a system of care (SOC) can guide those intending to develop and sustain SOCs. Hodges, Ferreira, Israel, and Mazza [Hodges, S., Ferreira, K., Israel, N., & Mazza, J. (in press). Systems of care, featherless bipeds, and the measure of all things. Evaluation and Program Planning] have emphasized contexts in which services are provided to families, plus the adaptive, dynamic, complex nature of systems and multiple components that comprise SOCs. However, two areas need additional clarification: (1) the nature of the ""system"" of concern in a ""system of care,"" and how it should differ from a ""service delivery system""; and (2) the degree to which intended, or desired, outcomes of a SOC extend beyond increased access to ""necessary"" services and supports. These prime issues in the conceptualization of SOCs are addressed, drawing on ecological theory to underscore the need for broader systems - including factors in the proximal and distal contexts of children and families - to be engaged in the process of promoting well-being and helping children and families function and participate fully in their communities. A revised definition is proposed, with implications for the implementation of SOCs.",Liberal Arts and Sciences,Psychology,2010.0
2-s2.0-70449117857,Article,"We use a model of continuous attachments in networks to generate propositions concerning inequalities in network structures, and test the propositions on data from organizational settings. Our network model, inspired by that of [Gould, Roger 2002. The origins of status hierarchies: A formal theory and empirical test. American Journal of Sociology 107, 1143-1178], is based on a theoretically informed actor model, in which each network member sets attachment strengths based on perceived partner quality, reciprocity, influence from others, attribute homophily, and attachment resistance. A computer algorithm finds the single robust equilibrium configuration of attachment strengths. This allows us to generate six propositions concerning inequalities at the individual, dyadic, triadic, and network levels. We test the propositions on network data for four kinds of attachments over four waves for five organizations, and find that the results generally support the propositions. The results suggest that partner quality, reciprocity, and attachment resistance are the most important elements in the network members' choices.",Liberal Arts and Sciences,Sociology,2010.0
2-s2.0-70949105411,Article,"Previous research has consistently demonstrated a relationship between gang membership and involvement in illegal substances. In addition, researchers have noted that gang members are frequently more heavily involved in drug sales, which often lead to increases in violent behaviors. Most of this research, however, is either cross-sectional or ethnographic in nature, and therefore does not reveal the causal nature of these relationships. This research attempts to establish the temporal ordering of these relationships while controlling for a variety of relevant variables and to determine whether the relationships between drug involvement and violence differ for gang members versus nongang members. The findings indicate that gang membership is weakly associated with drug involvement, including both usage and sales. This involvement, however, does not appear to be related to assaults. Results suggest that gang membership is not determinative of drug involvement among a national random sample of youth.",Liberal Arts and Sciences,Criminal Justice and Criminology,2010.0
2-s2.0-71149108277,Article,"The paper develops a North-Middle-South model to formulate a middle economy that plays catch-up via imitative R&D to acquire newer technologies from a higher-wage innovative forerunner, while playing ""reverse catch-up"" via outbound FDI to transfer older technologies to a lower-wage follower. A critical policy dilemma facing the middle economy is how to balance its R&D-driven technology inflows against its FDI-driven technology outflows. Numerical simulations are used for dynamic welfare analysis. This paper finds that tightening FDI permits the middle economy to keep a lower saving rate without weakening its ability to acquire newer technologies in the long run.",Business,Economics,2010.0
2-s2.0-72149125616,Article,"Isokinetic fatigue protocols have been used to determine the relative importance of lower extremity musculature to the maintenance of balance. However, these protocols are not representative of physical activity, thus the recommendations based on these findings may be inappropriate. Therefore, purpose of this investigation was to use a completely within subjects design to examine the effects of a functional ankle and hip fatigue protocol on postural control during single leg stance. All testing was completed in a health and wellness facility where 18 healthy recreationally active university students (nine female, nine male: 21.2 ± 1.96 years, 72.2 ± 17.8 kg, 170.4 ± 10.12 cm) volunteered to participate. Testing consisted of functionally fatiguing the ankle plantar flexors and dorsiflexors as well as the hip flexors and extensors. Postural control was assessed with two pre- and post-fatigue 20 s trials during single leg stance. Three measures of dynamic balance: the overall, medial/lateral, and anterior/posterior stability index were calculated using the Biodex Stability System at stability level 4. Three separate 2-way repeated measure ANOVAs indicated that fatigue of both the ankle (plantar flexors, dorsiflexors) and hip (flexors, extensors) musculature led to postural control impairments for the medial-lateral stability index (p < 0.01), and anterior-posterior stability index (p < 0.01). However, only ankle fatigue resulted in deficits in the overall stability index were (p < 0.01). Furthermore, neither fatigue protocol impaired single leg stance postural control more than the other (p > 0.05). Our results contradict previous isokinetic fatigue protocol findings, which indicate that proximal musculature fatigue results in greater postural control deficits.",CHHS,Kinesiology,2010.0
2-s2.0-72449171926,Article,"Research in teacher education suggests that field experiences in community settings can offer pre-service teachers a context for understanding the link between theory and practice. This paper documents the experiences of pre-service educators participating in a service-learning experience at a Children's Defense Fund Freedom School in the south-eastern United States. Pre-service teachers engaged in critical reflection, online journals, and daily debriefing sessions and praised the benefits of a service experience in an urban context and explained how interactions within the programme gave them the insight into the teaching profession. The author argues that this project successfully bridged the gap between teacher education theory and practice.",Education,"Middle, Secondary, and K-12 Education",2010.0
2-s2.0-73049113927,Article,"Changes in ankle mechanical stability in those with knee osteoarthritis. Objective: To examine ankle joint mechanical stability in patients who had mild to moderate knee osteoarthritis (OA). Design: Case control study. Setting: Biodynamics research laboratory. Participants: Subjects with knee OA (n=15; 5 men and 10 women; mean age ± SD, 60.3±10.2y; mean mass ± SD, 93.9±18.3kg; mean height ± SD, 167.23±9.5cm) were matched to healthy controls (n=15; 5 men and 10 women; mean age ± SD, 59.6±12.6y; mean mass ± SD, 83.5±19.2kg; mean height ± SD, 169.7±12.6cm). Interventions: Not applicable. Main Outcome Measures: Mechanical ankle-subtalar joint stability was assessed with an instrumented arthrometer where ankle-subtalar joint motion for anterior/posterior displacement and inversion/eversion rotation was measured. Separate 2 × 2 mixed model analyses of variance were performed. Results: Significant group × side interactions were observed for anterior and posterior displacement (P<.05) where patients with knee OA had significantly less anterior and posterior ankle displacement compared with the control group, as well as compared with their unaffected extremity. Additionally, patients with knee OA had significantly (P<.05) less inversion/eversion rotation than their respective controls. Conclusions: These data suggest that altered ankle joint mechanics may be the result of deviations in ankle joint alignment secondary to the structural changes at the knee. Compensatory changes in ankle joint mechanics must also be considered when addressing lower extremity functional deficits in patients with knee OA.",CHHS,Kinesiology,2010.0
2-s2.0-73149084167,Article,"This article examines the role of stress in relation to heart disease self-care among African American women. Women described a unique stress-coping model: Stress was a cause and contributor to ""bad heart"" and associated with ""not worrying."" Family history of heart disease was used as an experiential reference scale to evaluate the severity of women's heart health. Stress attributions were associated with coping practices to manage the effect of illness through emotion-focused coping and with the physiological worsening of their condition. This model highlights opportunities to reframe stress-coping activities into culturally based heart-healthy practices for African American women.",CHHS,Public Health,2010.0
2-s2.0-73249138596,Article,"A vital quest in biology is comprehensible visualization and interpretation of correlation relationships on a genome scale. Such relationships may be represented in the form of networks, which usually require disassembly into smaller manageable units, or clusters, to facilitate interpretation. Several graph-clustering algorithms that may be used to visualize biological networks are available. However, only some of these support weighted edges, and none provides good control of cluster sizes, which is crucial for comprehensible visualization of large networks. We constructed an interactive coexpression network for the Arabidopsis (Arabidopsis thaliana) genome using a novel Heuristic Cluster Chiseling Algorithm (HCCA) that supports weighted edges and that may control average cluster sizes. Comparative clustering analyses demonstrated that the HCCA performed as well as, or better than, the commonly used Markov, MCODE, and k-means clustering algorithms. We mapped MapMan ontology terms onto coexpressed node vicinities of the network, which revealed transcriptional organization of previously unrelated cellular processes. We further explored the predictive power of this network through mutant analyses and identified six new genes that are essential to plant growth. We show that the HCCA-partitioned network constitutes an ideal ""cartographic"" platform for visualization of correlation networks. This approach rapidly provides network partitions with relative uniform cluster sizes on a genome-scale level and may thus be used for correlation network layouts also for other species.",Computing and Informatics,Bioinformatics,2010.0
2-s2.0-73449086653,Article,"Despite the high incidence of chronic ankle instability (CAI), the underlying neurophysiologic mechanism is unknown. Evidence suggests that both feed-forward and feedback mechanisms may play a role. However, no investigation has examined both control mechanisms during the same movement task in the same cohort of CAI patients. PURPOSE: To determine the neuromuscular and biomechanical control alterations present in CAI patients during planned (feed-forward) and unplanned (feedback) gait termination. METHODS: Twenty subjects with CAI and 20 uninjured controls completed planned and unplanned gait termination protocols. Both tasks began with subjects walking at a self-selected speed across a 12-m walkway. Unplanned gait termination required subjects to stop during randomly selected trials on two adjacent force plates when cued. Planned gait termination required purposeful stopping on the force places. Propulsive and braking force magnitude and the dynamic postural stability index were calculated from the resulting ground reaction forces. In addition, muscle activity from the soleus, tibialis anterior, and gluteus medius was collected bilaterally. RESULTS: Both maximum propulsive (CAI = 99.8 ± 40.8 N, control = 88.6 ± 33.6 N) and braking (CAI = 207.1 ± 80.9 N, control = 161.6 ± 62.2 N) forces were significantly higher in the CAI group. The dynamic postural stability index revealed higher scores in the CAI group (0.24 ± 0.03) compared with the control group (0.22 ± 0.03). Muscle activation of the soleus and tibialis anterior differed during unplanned and planned gait termination between groups (P < 0.05) and between the limbs of the CAI group (P < 0.05). CONCLUSIONS: Altered biomechanical strategies during both planned and unplanned gait termination indicate that patients with CAI have alterations in feed-forward neuromuscular control and suggest the presence of feedback neuromuscular control deficits.",CHHS,Kinesiology,2010.0
